Item,Qty,References,Description,Footprint,Manufacturer,MPN,Supplier,Supplier PN,Notes
1,11,C1;C2;C3;C4;C_BYP;C_DEB_PROBE;C_DEB_X;C_DEB_Y;C_DEB_Z;C_IN2;C_OS,Ceramic cap 0.1uF 50V (104),C_Disc_D5.0mm_W2.5mm_P5.00mm,KEMET/any,C 0.1uF 50V,Adafruit,753 (10pk x2),Decoupling/debounce/filter
2,7,R_G;R_LP1;R_LP2;R_PU_PROBE;R_PU_X;R_PU_Y;R_PU_Z,Resistor 10k 1/4W axial,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Yageo,CFR-25JB-52-10K,Adafruit,2784 (25pk),Pull-ups/gain leg
3,5,R_DEB_PROBE;R_DEB_X;R_DEB_Y;R_DEB_Z;R_UART,Resistor 1k 1/4W axial,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Yageo,CFR-25JB-52-1K0,Adafruit,4294 (25pk),UART/debounce series
4,4,D_LED_PROBE;D_LED_X;D_LED_Y;D_LED_Z,Signal diode 1N4148 DO-35,D_DO-35_SOD27_P7.62mm_Horizontal,onsemi,1N4148,Adafruit,1641 (10pk),Opto anti-parallel
5,3,R_GD;R_GE;R_OS,Resistor 100R 1/4W axial,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Yageo,CFR-25JB-52-100R,Adafruit,4293 (25pk),Gate/SV series
6,2,J1;J2,Female socket 1x22 2.54mm,PinSocket_1x22_P2.54mm_Vertical,Sullins,PPTC221LFBN-RC,Adafruit,598 (cut from 36pk),Dev-board socket
7,2,D_PL;D_PLED,LED 5mm through-hole,LED_D5.0mm,any,5mm THT LED,Adafruit,2975 Parts Pal / LED pack,Power indicators
8,2,J_AUX;J_DIAG,Pin header 1x4 2.54mm male,PinHeader_1x04_P2.54mm_Vertical,Sullins,PRPC040SAAN-RC,Adafruit,392 (cut from 36pk),Control header
9,2,R_PDD;R_PDE,Resistor 100k 1/4W axial,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Yageo,CFR-25JB-52-100K,Adafruit,2787 (25pk),Gate pulldown
10,2,R_PL;R_PLED,Resistor 4.7k 1/4W axial,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Yageo,CFR-25JB-52-4K7,Adafruit,2783 (25pk),Power-LED series
11,1,C_5V,Electrolytic 10uF >=16V radial,CP_Radial_D5.0mm_P2.50mm,any,10uF/50V,Adafruit,2195 (10pk),5V rail bulk
12,1,U_BUCK,MP1584 buck module + 1x4 socket,PinHeader_1x04_P2.54mm_Vertical,(module),MP1584EN module,Amazon/generic,- (NOT Adafruit fp),12V->5V standalone
13,4,U1;U2;U3;U4,Stepper driver BTT TMC2209 V1.3,TMC2209_StepStick_Socket,BigTreeTech,TMC2209 V1.3,BigTreeTech/Amazon,- (NOT Adafruit pinout),X/Y/Z + spare A
